link,title,comment_count,top_likers,like_count,preview,view_count,caption,time
,,1,,26,,,Lights off……. AND…….lights ON Get your own wrap lamp this SUNDAY (11-7) @ludlowflea March lamp class dates coming out soon!,2025-03-04 22:50:15
,,0,,35,,,The one-week countdown begins! Join us next Friday (02/28) and Sunday (03/02) for a fun papier-mâché vase workshop. In this two-part class  you’ll learn to create your own vase on Friday  and once it’s dried  you’ll have the chance to paint and decorate it on Sunday. If you can’t make it on Friday  no worries—a pre-made vase will be available on Sunday for you to decorate!,2025-02-22 14:45:26
,,5,,18,,,Come screen print with us and @amongfriends_nyc TOMORROW!!!  Link in BIO!!  02/22 1PM $30 BED-STUY  #crafts #thingstodoinnyc #tomorrow #workshop #art  #events #nycevents,2025-02-21 20:12:25
,,0,,10,,,Chair 01 from its final view  the front!,2025-02-18 21:04:34
,,2,,17,,,Frame inspiration: Mario Botta’s Seconda Armchair Weave inspiration: Michael van Beuren’s High Back Lounge Chair for Domus  This chair was featured in @mixtape.project  a monthly newsletter curated by my friends Liv and Summer. Their work is always thoughtful and beautifully put together—definitely worth checking out! My entry appears in their February issue  themed Tapestry. Read it below!!!   One of the things I love most about getting older is recognizing how wisdom unfolds—like a tapestry—where every lesson learned weaves into the next  and each new experience enriches what you already know.  Nearly two years ago  I stumbled upon a Craigslist listing for two Møller Model 71 chairs for $100 (a steal considering they retail for $1500 each). Both seats needed reweaving  and one had no seat at all. The seller was moving and said  “It’s one of those projects I’ve been meaning to do.” And just like that  they became one of those projects for me.  More than a year later—after a mispurchase and a missed return window—I finally got the right Danish cord and re-wove the chairs. For a brief moment  my bedroom was free of unfinished chairs.  Until this project.  Chair 01 is made up of two elements: a frame I welded and a seat I wove. The frame sat in my bedroom for nine months while I debated seat options. Finally  under the thumb of grad school application deadlines  I decided to make do with what I had. Armed with two pounds of not-Danish-cord-but-actually-paper-rush  I began weaving. I wanted a pattern that would emphasize the frame’s angularity and cantilever. The process was intricate  and by 3 AM  I had a chair—and two very swollen hands.  Chair 01 is a culmination of years of collected skills  trial and error  and the realization that design is an ongoing process of learning  experimenting  and refining.,2025-02-17 13:17:41
,,3,,15,,,Like a black turtleneck  designing a chair is an architectural rite of passage. This is my first chair  so naturally  as the minimalist architect I am  it’s called Chair 01. You can buy it! Maybe even a whole set? Anything is possible!! DM me! I welded the frame of this chair in a welding class with @michaeldanielmetal and I wove the seat by hand using paper rush. Photography @nothinginpassing,2025-02-16 16:21:04
,,4,,15,,,Build  Papier-Mâché & Paint Your Own Vase! Link in Bio!!  Join us for a two-part workshop where you’ll craft a one-of-a-kind vase from start to finish!  Part 1: Friday  February 28th Learn how to build the armature (structure) of the vase and bring your vision to life! You’ll design your own handles  shape your base  and then apply layers of papier-mâché to form your vase.  Part 2: Sunday  March 2nd Time to personalize! Once dried  you’ll paint and accessorize your creation  adding the final artistic touches.,2025-02-16 00:16:39
,,7,,97,,,FEBRUARY CALENDAR!! Class links in Bio! Swipe for the ad inspo   Wrap lamp class 02/18 Screen printing 02/22 Papier Mache Vase Part 1: 02/28 Papier Mache Vase Part 2: 03/02,2025-02-12 15:03:44
,,2,,33,,,Anything event-based depends on people! And getting people to actually show up is no easy feat. I’m so grateful to the incredible network of friends and family who have continuously shown up for me. Thanks to you (and your friends  and their friends  and their friends’ friends)  I’ve been able to host these workshops for awesome people.   These photos are of those people! (Some workshops pre-content era not pictured lol)  We’ve tripped breakers  made lamps without wall plugs  and gone through plenty of wine and aged reserve cheddar. Through it all  your willingness to show up  your enthusiasm for making a lamp (even the third time)  and your generosity in spreading the word have meant everything.  Thank you for being a part of this—I literally couldn’t do it without you!,2025-01-31 12:14:28
,,1,,17,,,Okay add a baguette and I think you have everything you need in one bike basket.   The wrap lamps comes in all shapes and sizes!! Check out the calendar highlight for an upcoming class on how to make your own or DM to purchase one made for you!,2025-01-27 14:43:51
,,0,,30,,,$30 in NYC? That’s one espresso martini… or a tote bag you screenprinted at a laid-back workshop in a Brooklyn apartment—surrounded by cool  artsy folks who also take screenprinting workshops. One disappears in an hour  the other lasts at least until you come back for another workshop to screenprint your next favorite tote. 😉  Next screenprinting class 02/22 @ 1PM in Bed Stuy. DM for address and to book! Follow for more upcoming workshops!!!,2025-01-30 15:27:11
,,2,,14,,,We’re versatile. Mood lighting— for your living room or the corner of Lispenard and Church.   Photography by @don.javis,2025-01-25 18:04:03
,,0,,15,,,Large wrap lamp! Available in two forms: Make your own at our workshop or ready made by us. DM for more info.   Size shown is 15” Tall with a 10” Diameter shade,2025-01-20 14:18:10
,,2,,20,,,C’mon!!! So cute! We ❤️ Wrap Lamp,2025-01-27 22:44:01
,,0,,11,,,Mini wrap lamp! Available in two forms: In our workshop and made by us. DM for more info.   Size shown is 8.5” Tall with a 6” Diameter shade  Thank you to Heami for taking these beautiful photos!!,2025-01-20 14:17:41
,,0,,17,,,Build a lamp on your Thursday night?????  2/13 @ 7 PM in Bed Stuy 100$ DM TO BOOK,2025-01-27 21:57:30
,,1,,13,,,Wabili Workshop Winter Campaign 2024 - The secret lives of lamps  It was so much fun to work with Jon Davis whose photography brought this idea to life and inspired the concept for the campaign.   Thank you to our favorite model and the world record holder for Wabili Workshop creations  Henry Davis (unrelated Davis’s)  whose unwavering support has been the fuel that keeps this endeavor running!,2025-01-20 14:16:37
,,1,,20,,,Hi I’m Taylor! When you’re an unlicensed architect  you call yourself an architectural designer—and that’s what I am. Working professionally as a designer  I design  but I don’t make. And for someone who loves making things  that’s a problem.   The idea for Wabili Workshop started in December 2023. My mom had some leftover lamp kits from Christmas houses  and I decided to bring them back to New York. I loved the idea of making a lamp because it’s not something most people would think to try on their own—but I wanted to show them that they could.  Hosting is one of my favorite things to do  so I gathered a group of friends and held a lamp-making class in my apartment. It was inspiring to see how uniquely each person approached the open-ended nature of the workshop. Hearing everyone’s excitement about what they created was so rewarding  and that’s when I knew I wanted to do more.   Since then  I’ve been squeezing in workshops on weekends and after work  growing Wabili Workshop through word of mouth. I never got around to starting an Instagram  but applying to grad school forced me to take pictures of everything—so now I have no excuses. And here I am!  I’m excited you’re here and that you read this far!! People tell me this is long for Instagram lol,2025-01-20 05:12:42
